ID,desired,softmax,DiffShort,DiffLong,DiffAll,DirShort,DirLong,DirAll,feCheater00,feBiasP01,feBiasN02,feBiasZ03,feRepeatL04,fe3DiffMean05,feRandom06,X00_00,X01_01,X02_02,X03_03,X04_04,X05_05,X06_06,X07_04,X08_06,X09_05,X10_06,X11_04,X12_05,N00,N01,N02,N03,N04,Y00_00,Y01_01,Y02_02,Y03_03,Y04_04,reserve
9988,0.32406667,0.00073928,2.8e-7,2e-8,2.22e-6,0.0625,0.00390625,0.5,0.32406667,0.5,-0.5,0,0.2306201,-0.20805901,0.89385986,0.001,0.011,0.001,0.001,0.011,0.001,0.011,0.011,0.011,0.001,0.011,0.011,0.001,0.02179283,0.01570735,0.01222138,0.00322174,-0.00026423,0.011,0.011,0.011,0.011,0.001,0
9987,0.40456069,0.00100253,9.87e-6,6.2e-7,5.271e-5,0.12109375,0.00779724,0.66666669,0.40456069,0.5,-0.5,0,0.32406667,-0.38899297,-0.18835449,0.001,0.0209989,0.001,0.001,0.0209989,0.001,0.001,0.0209989,0.001,0.001,0.001,0.0209989,0.001,0.02060598,0.00840266,-0.00073323,0.00864187,-0.00049402,0.0209989,0.0209989,0.001,0.0209989,0.001,0
9986,0.60359591,0.00373741,8.727e-5,5.49e-6,0.00035161,0.17602539,0.01167303,0.75,0.60359591,0.5,-0.5,0,0.40456069,0.95924741,0.15875244,0.001,0.0309968,0.001,0.001,0.0309968,0.011,0.011,0.0309968,0.011,0.011,0.011,0.0309968,0.011,0.0505807,0.01814033,0.01561646,0.01592257,0.0133987,0.0309968,0.0309968,0.011,0.0309968,0.011,0
9985,-0.44362989,0.00151381,-0.0002283,-1.391e-5,-0.00071108,0.1025238,0.00772119,0.40000001,-0.44362989,0.5,-0.5,0,0.60359591,1.33222318,0.11981201,0.001,0.0209937,0.011,0.001,0.0209937,0.001,0.001,0.0209937,0.001,0.001,0.001,0.0209937,0.001,0.02427803,0.01624179,0.00184408,0.01608963,0.00169192,0.0209937,0.0209937,0.001,0.0209937,0.001,0
9984,-0.08829585,-0.00315438,-0.00016384,-1.072e-5,-0.00045872,0.15861607,0.01159727,0.5,-0.08829585,0.5,-0.5,0,-0.44362989,0.56452668,-0.68139648,0.001,0.0109916,0.0209989,0.001,0.0309916,0.001,0.011,0.0309916,0.011,0.001,0.011,0.0309916,0.001,-0.03261098,-0.02697497,-0.00880145,-0.01745658,0.00071695,0.0309916,0.0309916,0.011,0.0309916,0.001,0
9983,-0.2306201,-0.00445696,-4.868e-5,-4.12e-6,-0.00015337,0.21120256,0.01545822,0.5714286,-0.2306201,0.5,-0.5,0,-0.08829585,0.07167017,-0.7902832,0.001,0.001,0.0309968,0.001,0.0409885,0.001,0.0209989,0.0409885,0.0209989,0.001,0.0209989,0.0409885,0.001,-0.04461485,-0.02566421,-0.02097699,-0.00459619,9.102e-5,0.0409885,0.0409885,0.0209989,0.0409885,0.001,0
9982,0.19663702,-0.00153709,-0.0002571,-1.732e-5,-0.00055715,0.1355024,0.01149159,0.375,0.19663702,0.5,-0.5,0,-0.2306201,-0.76254582,-0.1262207,0.001,0.011,0.0209937,0.001,0.0309844,0.001,0.0109968,0.0309844,0.0109968,0.001,0.0109968,0.0309844,0.001,-0.01814987,-0.01083711,-0.00273122,-0.00907433,-0.00096843,0.0309844,0.0309844,0.0109968,0.0309844,0.001,0
9981,0.43618992,0.00144883,-0.00024295,-1.737e-5,-0.00049864,0.0645335,0.00754045,0.22222222,0.43618992,0.5,-0.5,0,0.19663702,-0.12227893,-0.52990723,0.001,0.0209989,0.0109916,0.001,0.0409813,0.001,0.001,0.0409813,0.001,0.001,0.001,0.0409813,0.001,0.01575802,0.00956035,-0.00082828,0.01023333,-0.00015529,0.0209813,0.0409813,0.001,0.0409813,0.001,0
9980,0.37919405,0.00570166,-3.646e-5,-5.35e-6,-0.00014269,0.12300016,0.01141725,0.30000001,0.37919405,0.5,-0.5,0,0.43618992,0.40220684,-0.88623047,0.001,0.0309968,0.001,0.001,0.0509772,0.011,0.001,0.0509772,0.001,0.011,0.001,0.0509772,0.011,0.05175563,0.02709529,0.00449317,0.0282208,0.00561868,0.0309792,0.0509772,0.001,0.0509772,0.011,0
9979,0.84114063,0.01047381,0.00032221,1.694e-5,0.00038864,0.17781265,0.0152789,0.36363637,0.84114063,0.5,-0.5,0,0.37919405,1.01202095,0.29052734,0.001,0.0409937,0.001,0.001,0.0609721,0.0209989,0.011,0.0609721,0.011,0.0209989,0.011,0.0609721,0.0209989,0.08575483,0.03340044,0.03103156,0.02934183,0.02697295,0.0409761,0.0609721,0.011,0.0609721,0.0209989,0
9978,0.60359591,0.02885443,0.00138187,8.436e-5,0.00179597,0.22919936,0.01912547,0.41666666,0.60359591,0.5,-0.5,0,0.84114063,1.65652454,-0.7791748,0.001,0.0509896,0.001,0.001,0.07096601,0.0309968,0.001,0.07096601,0.001,0.0309968,0.001,0.07096601,0.0309968,0.17116088,0.07446267,0.06399329,0.07545222,0.06498284,0.050972,0.07096601,0.0209989,0.07096601,0.0309968,0
9977,0.77374846,0.03628485,0.00283465,0.00018023,0.00355214,0.27737439,0.02295701,0.46153846,0.77374846,0.5,-0.5,0,0.60359591,1.8239305,-0.30456543,0.001,0.0609845,0.001,0.001,0.0809589,0.0409937,0.001,0.0809589,0.001,0.0409937,0.001,0.0809589,0.0409937,0.19377838,0.06147714,0.0938722,0.06186394,0.09425899,0.0609669,0.0809589,0.0309968,0.0809589,0.0409937,0
